idArea,area,vicepresidencia
89f07fc6dd4046,ACTIVOS FIJOS (CLS53000246),FINANCIERA (CLS80000005)
4ca09db12d4e4e,PLANEACION MANTENIMIENTO LINEAS REDES Y UIETD (CLS53000231),TRANSMISION Y DISTRIBUCION (CLS80000008)
076d92d831b54b,VENTAS Y OPERACIONES RETAIL (CLS53000617),COMERCIAL (CLS80000004)
69aabbfe04a149,CRECIMIENTO RED (CLS53000031),TRANSMISION Y DISTRIBUCION (CLS80000008)
0be24eaacaa54e,MANTENIMIENTO INSTRUMENTACION CENTRALES GENERACION (CLS53000196),GENERACION (CLS80000006)
ee8283b3b3e242,PLANEACION DEL MANTENIMIENTO TYD (CLS53000232),TRANSMISION Y DISTRIBUCION (CLS80000008)
38e81fc7870744,INTERNET (CLS53000318),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
b84fd59abda940,DISEÑO Y CONSTRUCCION INTERNET (CLS53000512),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
7929980632644e,GESTION TECNICA GENERACION HIDRAULICA Y EOLICA (CLS53000587),GENERACION (CLS80000006)
f98b1ed0ae8e47,OPERACION TERMICA (CLS51000773),GENERACION (CLS80000006)
e26d0cd80c8643,GENERACION TERMICA (CLS53000350),GENERACION (CLS80000006)
41a265a8ef4d4d,COMERCIO EXTERIOR Y ZONA FRANCA (CLS51000775),FINANCIERA (CLS80000005)
fb59327abee54b,CENTRAL HIDRAULICA PRADO Y CUCUANA (CLS51000816),GENERACION (CLS80000006)
c1572583ee2240,PROTECCION DE RECURSOS (CLS51000329),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
717821daf39448,SOCIOAMBIENTAL (CLS51000703),GENERACION (CLS80000006)
b92c252d355d48,PMO TYD (CLS51000858),TRANSMISION Y DISTRIBUCION (CLS80000008)
2c3f918e07d84a,MANTENIMIENTO TYD (CLS51000659),TRANSMISION Y DISTRIBUCION (CLS80000008)
160ce359364442,CIUDADES Y EMPRESAS (CLS53000279),COMERCIAL (CLS80000004)
50d1e03c373440,INTELIGENCIA COMPETITIVA (CLS53000505),COMERCIAL (CLS80000004)
4c16830dd4cf4d,GESTION TYD (CLS51000658),TRANSMISION Y DISTRIBUCION (CLS80000008)
7f7ea0eb4d5b41,COMUNICACIONES MARCA (CLS51000798),ASUNTOS CORPORATIVOS (CLS80000002)
55850993cc9a42,ATRACCION CULTURA Y DESARROLLO DEL TALENTO (CLS53000030),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
c0af797479774b,SOCIOAMBIENTAL TYD (CLS53000403),TRANSMISION Y DISTRIBUCION (CLS80000008)
3a1948c059254b,CENTRAL HIDRAULICA CALIMA (CLS51000815),GENERACION (CLS80000006)
fe4f1011635d40,GESTION MEDIDA Y PERDIDAS (CLS53000395),TRANSMISION Y DISTRIBUCION (CLS80000008)
65e8236f281e4a,MANTENIMIENTO TYD ZONA VALLE NORTE (CLS51000864),TRANSMISION Y DISTRIBUCION (CLS80000008)
04674f6af26641,EMPRESAS (CLS51000669),COMERCIAL (CLS80000004)
2bd1ae47f65045,GESTION CONTRATISTAS (CLS51000809),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
b8c91549f30d42,COMPRAS CORPORATIVAS (CLS53000006),FINANCIERA (CLS80000005)
324e86a05e3e46,MANTENIMIENTO TYD ZONA CARIBE (CLS51000863),TRANSMISION Y DISTRIBUCION (CLS80000008)
cd7edb15820048,SERVICIO HOGAR MAS (CLS53000298),COMERCIAL (CLS80000004)
1ef8d6015c1447,MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000378),GENERACION (CLS80000006)
d73da9ff50c44c,DESARROLLO DE SOLUCIONES TECNOLOGIA (CLS53000474),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
983d52f42bb24c,DESARROLLO DE NEGOCIOS (CLS51000480),FINANCIERA (CLS80000005)
1b4b556d5e1545,PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA (CLS53000536),GENERACION (CLS80000006)
1387800fcde844,ASUNTOS CORPORATIVOS (CLS50000056),ASUNTOS CORPORATIVOS (CLS80000002)
5f9bb1e4639c41,MANTENIMIENTO ACUEDUCTOS Y SANEAMIENTO (CLS53000607),GENERACION (CLS80000006)
88d47c24b58449,GESTION RECURSOS CENTRAL TERMICA (CLS53000352),GENERACION (CLS80000006)
a9ca7d5813044c,TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS50000059),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
038650898d884c,EXPERIENCIA DE CLIENTES (CLS51000728),COMERCIAL (CLS80000004)
d3c52d81aa4546,GESTION CONTABLE (CLS51000483),FINANCIERA (CLS80000005)
f1fed76057c644,CENTRALES HIDRAULICAS MENORES (CLS51000490),GENERACION (CLS80000006)
5c36b5eba2e848,PROYECTOS GENERACION (CLS51000486),GENERACION (CLS80000006)
d3c0d348eb0d4f,CONTABILIDAD E IMPUESTOS (CLS51000151),FINANCIERA (CLS80000005)
5e62f1256ff849,PROYECTOS SOCIALES DE GENERACION (CLS53000033),GENERACION (CLS80000006)
a2bb41f76f1d43,GENERACION TERMICA (CLS50000062),GENERACION (CLS80000006)
8772f9ec2aa541,MANTENIMIENTO MECANICO TERMICAS (CLS53000487),GENERACION (CLS80000006)
8cfa45f3f2ac4b,MANTENIMIENTOS MAYORES CENTRALES GENERACION (CLS53000591),GENERACION (CLS80000006)
0bd8ada1791747,ARQUITECTURA Y DIGITAL (CLS51000850),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
1f707e54a1874b,PROYECTOS GENERACION EOLICA (CLS53000028),GENERACION (CLS80000006)
12d2a2b4a5314d,BIENES INMUEBLES Y SERVICIOS ADMTIVOS (CLS51000336),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
0097eef24b7a40,GESTION TECNICA TERMICAS (CLS53000423),GENERACION (CLS80000006)
0d9cfda5b91a44,MANTENIMIENTO ZONA TOLIMA SUR (CLS53000261),TRANSMISION Y DISTRIBUCION (CLS80000008)
4067bcf816ec42,COMERCIAL (CLS51000576),COMERCIAL (CLS80000004)
12c750982dd54c,CADENA DE ABASTECIMIENTO (CLS51000276),FINANCIERA (CLS80000005)
bd5b301fec4a47,BIENES INMUEBLES I (CLS53000089),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
4816c43516f04a,MANTENIMIENTO TYD ZONA (CLS53000260),TRANSMISION Y DISTRIBUCION (CLS80000008)
7ed50d8dbacc44,GESTION MANTENIMIENTO CENTRALES (CLS53000387),GENERACION (CLS80000006)
f3c18bd8ae134c,SOCIOAMBIENTAL CORPORATIVO (CLS53000530),ASUNTOS CORPORATIVOS (CLS80000002)
a1adda320ade49,DESEMPEÑO TECNOLOGIA (CLS53000511),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
82349a9836084c,ESTRATEGIA TECNOLOGIA (CLS53000554),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
42590fa565dd43,CONSOLIDACION CONTABLE Y NIIF (CLS51000678),FINANCIERA (CLS80000005)
d3c5305ff30e48,SUPERVISION TURNO II CTC (CLS53000078),CELSIA CENTROAMERICA (CLS80000009)
21243d29f1044a,SOCIO GESTION HUMANA (CLS53000054),CELSIA CENTROAMERICA (CLS80000009)
9a5946bfb3f446,GESTION HUMANA Y ADMINISTRATIVA (CLS52000012),CELSIA CENTROAMERICA (CLS80000009)
96b7664dcdf542,MANTENIMIENTO CIVIL DMA (CLS53000070),CELSIA CENTROAMERICA (CLS80000009)
90efd780d70a49,ABASTECIMIENTO ESTRATEGICO (CLS52000007),CELSIA CENTROAMERICA (CLS80000009)
b691fec7d8954a,GESTION DE RECURSOS (CLS53000045),CELSIA CENTROAMERICA (CLS80000009)
c67f3bbc6cea43,GERENCIA CTC (CLS52000029),CELSIA CENTROAMERICA (CLS80000009)
da7707b7a1f94d,GESTION CONTABLE CA (CLS53000044),FINANCIERA (CLS80000005)
d806e89e5e134f,MANTENIMIENTO CTC (CLS52000033),CELSIA CENTROAMERICA (CLS80000009)
1b7d4d0ee44842,COMPENSACION Y PRODUCTIVIDAD (CLS53000055),CELSIA CENTROAMERICA (CLS80000009)
25f5043864014d,SUPERVISION TURNO I CTC (CLS53000077),CELSIA CENTROAMERICA (CLS80000009)
17a3896d12ff44,SUPERVISION MANTENIMIENTO ELECTRICO (CLS53000198),CELSIA CENTROAMERICA (CLS80000009)
16cc46dc4ac448,SUPERVISION DE TURNO (CLS53000553),CELSIA CENTROAMERICA (CLS80000009)
b73397faac1d41,SUPERVISION DE TURNO (CLS53000337),CELSIA CENTROAMERICA (CLS80000009)
ae2980b272e94c,SUPERVISION DE TURNO (CLS53000338),CELSIA CENTROAMERICA (CLS80000009)
e8598b32e45749,SOPORTE DE PROYECTOS Y MERCADOS ELECTRICOS (CLS52000044),CELSIA CENTROAMERICA (CLS80000009)
e7c0cf085db24b,SUPERVISION DE TURNO III CTC (CLS53000080),CELSIA CENTROAMERICA (CLS80000009)
a1019fcc34ea45,MANTENIMIENTO ELECTRICO COMPLEJO TERMICO COLON (CLS53000493),CELSIA CENTROAMERICA (CLS80000009)
d33594d916b94d,OPERACIONES CATIVA (CLS53000046),CELSIA CENTROAMERICA (CLS80000009)
c11a99ebe2b54b,INSTRUMENTACION Y CONTROL COMPLEJO TERMICO COLON (CLS53000491),CELSIA CENTROAMERICA (CLS80000009)
401d1891709642,OPERACIONES CTC (CLS53000076),CELSIA CENTROAMERICA (CLS80000009)
b72f75138c4542,SUPERVISION TURNO I CATIVA (CLS53000047),CELSIA CENTROAMERICA (CLS80000009)
92427cebf62246,CENTRAL HIDRAULICA SALVAJINA (CLS51000817),GENERACION (CLS80000006)
0a3b9a1e99ee4c,GESTION DE RECURSOS DMA (CLS53000071),CELSIA CENTROAMERICA (CLS80000009)
faf359f71e4740,GESTION COMBUSTIBLES ZFC (CLS53000206),GENERACION (CLS80000006)
9aa64d41a9ed44,CENTRAL MERIELETRICA (CLS51000332),GENERACION (CLS80000006)
447a740bc4804f,TECNOLOGIA CA (CLS53000053),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
7b6b6687b9f648,INVESTIGACION Y DESARROLLO TECNOLOGIA (CLS53000473),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
abd99c92b99840,PLANEACION FINANCIERA (CLS51000484),FINANCIERA (CLS80000005)
c2065d83473c4a,GESTION DE COMBUSTIBLE (CLS51000487),GENERACION (CLS80000006)
d5d72d93c2a841,ALMACENAMIENTO Y MICRORREDES (CLS53000355),INNOVACION (CLS80000021)
f5ee45bff0594a,COMERCIO EXTERIOR (CLS53000373),FINANCIERA (CLS80000005)
3ac0646c08cb49,OPERACION TALENTO HUMANO (CLS51000526),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
9c7ef425f9c549,LINEAS AT (CLS53000216),TRANSMISION Y DISTRIBUCION (CLS80000008)
ca2dad0dfdcf47,PROTECCION Y TELECONTROL ZONA (CLS53000399),TRANSMISION Y DISTRIBUCION (CLS80000008)
11eadc95423a41,MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000377),GENERACION (CLS80000006)
f2e9da9fdebb4b,MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA (CLS53000379),GENERACION (CLS80000006)
f55f2eb833e24a,INFRAESTRUCTURA CIVIL Y GESTION DE PRESAS (CLS53000191),GENERACION (CLS80000006)
c8ddfe355a7648,PLANEACION ABASTECIMIENTO (CLS53000005),FINANCIERA (CLS80000005)
d7eb976c5bee4d,MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA (CLS53000380),GENERACION (CLS80000006)
665cc25acd1749,INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA (CLS53000213),CELSIA CENTROAMERICA (CLS80000009)
bad958c270b24f,SUPERVISION DE TURNO IV (CLS53000068),CELSIA CENTROAMERICA (CLS80000009)
4b39cfcb01f349,PROYECTOS ESPECIALES GENERACION CA (CLS53000017),GENERACION (CLS80000006)
5686acf180404b,ALMACEN PANAMA (CLS53000406),FINANCIERA (CLS80000005)
cc064c88223f4c,PLANEAMIENTO DMA (CLS53000063),CELSIA CENTROAMERICA (CLS80000009)
ba7a7fc35df841,PLANEACION DE MANTENIMIENTO (CLS53000199),CELSIA CENTROAMERICA (CLS80000009)
2c364f7701ce47,SUPERVISION TURNO III CATIVA (CLS53000049),CELSIA CENTROAMERICA (CLS80000009)
a9e216a9e5fd49,"MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO (CLS53000336)",CELSIA CENTROAMERICA (CLS80000009)
729ed7e2332b49,TECNICO PROYECTOS (CLS53000413),CELSIA CENTROAMERICA (CLS80000009)
5742a4859de148,AMBIENTE (CLS52000022),CELSIA CENTROAMERICA (CLS80000009)
f5e0560743884a,COMPLEJO TERMICO COLON (CLS53000409),CELSIA CENTROAMERICA (CLS80000009)
07b3e81fd19047,COMUNICACIONES SOSTENIBILIDAD Y GESTION SOCIAL (CLS53000315),CELSIA CENTROAMERICA (CLS80000009)
4d01d971c90f4e,MANTENIMIENTO ELECTRICO PRADO Y CUCUANA (CLS53000382),GENERACION (CLS80000006)
9c211f3cb7d447,PMO TECNOLOGIA (CLS53000511),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
e1df049fb6234d,REDES MTBT (CLS53000236),TRANSMISION Y DISTRIBUCION (CLS80000008)
677ad03f4bf248,PROVISION SERVICIO OBRAS Y MULTISERVICIOS (CLS51000886),TRANSMISION Y DISTRIBUCION (CLS80000008)
16a7c1e7666247,OPERACION DE LA MEDIDA ZONA (CLS53000227),TRANSMISION Y DISTRIBUCION (CLS80000008)
78c469f0d9c944,HOGARES (CLS51000668),COMERCIAL (CLS80000004)
c5e51ef9832b4c,INGENIERIA DE PRUEBAS (CLS53000401),TRANSMISION Y DISTRIBUCION (CLS80000008)
fdc914044a6f47,ESTRATEGIA ABASTECIMIENTO (CLS53000320),FINANCIERA (CLS80000005)
a26a42d2a1e246,EXPERIENCIAS DE SERVICIO ZONA (CLS53000372),COMERCIAL (CLS80000004)
2e1ff2c0142b46,PLANEACION Y OPERACION MERCADOS ENERGETICOS (CLS51000488),GENERACION (CLS80000006)
7ea710fde39144,INTELIGENCIA DE MERCADOS (CLS53000612),ASUNTOS REGULATORIOS (CLS80000003)
2775a08e4c3d42,BIENES INMUEBLES (CLS51000909),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
61bd61f9eb424b,INFRAESTRUCTURA ELECTRICA Y MANTENIMIENTO (CLS53000448),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
5c45644ee84343,MANTENIMIENTO PREDICTIVO ELECTRICO (CLS53000598),GENERACION (CLS80000006)
cf2b4ddb77fd4a,TESORERIA (CLS52000011),FINANCIERA (CLS80000005)
b05579fa7d704d,ASUNTOS REGULATORIOS Y DESARROLLO DE MERCADOS (CLS53000366),CELSIA CENTROAMERICA (CLS80000009)
292fde2e31ac43,OPERACION TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS53000438),CELSIA CENTROAMERICA (CLS80000009)
93924026205045,GESTION SOCIOAMBIENTAL GENERACION (CLS51000703),GENERACION (CLS80000006)
1b0a6095a0db47,GENERACION (CLS50000052),GENERACION (CLS80000006)
76c34ea9448944,INGENIERIA DE PROCESOS Y DISEÑO ORGANIZACIONAL (CLS51000792),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
eca9ce2b5bb346,PRESIDENCIA (CLS50000050),PRESIDENCIA (CLS80000001)
28438fac19d74e,INGENIERIA DE APOYO (CLS51000702),GENERACION (CLS80000006)
6c76bc1f2e6044,OBRAS CIVILES ACUEDUCTOS Y STAR (CLS53000388),GENERACION (CLS80000006)
e6fe1eaa563348,ALMACEN (CLS53000557),FINANCIERA (CLS80000005)
b4776ddec2b34a,GENERACION HIDRAULICA Y EOLICA (CLS53000585),GENERACION (CLS80000006)
e9e038ad38a84a,CONFIABILIDAD DE ACTIVOS (CLS53000594),GENERACION (CLS80000006)
234e92ae23554a,SISTEMAS FOTOVOLTAICOS (CLS53000616),TRANSMISION Y DISTRIBUCION (CLS80000008)
26c34544b89a48,GESTION TECNICA INTERNET (CLS53000512),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
dd9694a471cd4b,DESARROLLO DE PRODUCTO ENERBIT (CLS53000620),ENERBIT (CLS80000022)
99b14df4571c43,SUPERVISION DE TURNO II (CLS53000066),CELSIA CENTROAMERICA (CLS80000009)
8acdabffaafe41,SUPERVISION TURNO I (CLS53000065),CELSIA CENTROAMERICA (CLS80000009)
