idCompania,nombre,ubicacionC
c4da3d6dfe004f,PEG S.A. (CLS-CR02),
9528a4d6c8974e,PEGO LTD (CLS-CR03),198c2d68e6c049
fb821c0bac744f,"BLM, CORP (CLS-PA01)",b1d7f415eccb41
427076f5c07344,PEG S.A. (CLS-CR02),198c2d68e6c049
a616896b8a7142,CELSIA COSTA RICA S.A. (CLS-CR05),
bf2b2ef57b4447,PEG S.A. (CLS-CR02),1d5edb8fb67d48
ef7a973ad4f04c,EPSA E.S.P. (CLS-CO07),c1c5d70cd44d43
78426982121746,ZFC S.A. E.S.P. (CLS-CO02),1aed7b83bd7343
5169b74d66a446,ZFC S.A. E.S.P. (CLS-CO02),5473b18c193941
65cb218f29c443,PEG S.A. (CLS-CR02),3c32e1897bc048
c48fa70a2ba34b,PEG S.A. (CLS-CR02),6c7c773b3d3d40
c0632e0db86d4c,PEG S.A. (CLS-CR02),5f7aed7b3d6641
a639f1ba751f42,CETSA E.S.P. (CLS-CO06),3784fc64a22b49
3956405774f044,CETSA E.S.P. (CLS-CO06),18d46eeacfec4b
dc3d3ab17c1848,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),b61657a0a9564e
0f9237ac94ae4d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),bec538ebdfbf4a
b4a78ffe5d8c41,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),89f810ebd32c46
4a40c4d58f694b,ZFC S.A. E.S.P. (CLS-CO02),
a934626240be41,CELSIA S.A (CLS-CO01),
56572630e3854b,ZFC S.A. E.S.P. (CLS-CO02),f2efe83df36149
22694a5b9ded42,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),de5554cd8b444a
1a54a841d6414b,EPSA E.S.P. (CLS-CO07),04efe1f6ec0546
1432c652e3c04f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),ba5fcee8f2e541
cf32aef28dcc4c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),14fb3417521643
0480b76985b94e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c6ec94ab27374d
a967398bc4bf42,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),
f1ae2dddc89a4a,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),f25198083f0b4b
986c4555e6e946,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),1d5e0d3db9be4b
2b452819ad364c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),029d0b266c0144
179b103721da4d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),949019aa527045
5963862e4b0d45,CELSIA S.A (CLS-CO01),89f810ebd32c46
9ae198897be046,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),45f86f926f564a
f53c87bde50741,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),6e83a87c505a43
4e8d4c3a0c1045,CELSIA S.A E.S.P. (CLS-CO01),
89159a724af44d,PORVENIR II S.A.S. E.S.P. (CLS-CO04),
3aaa549d39e748,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),e5b0cd35ce6945
490e9ac40ef844,ZFC S.A. E.S.P. (CLS-CO02),73ff37e0bd0647
6c882ac397f84b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),5b2ddd6634bb4f
700f7726ac7243,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),0907ed879c894a
0addaf3042834d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),0b06500ae3e847
29487e31acf94e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),0f1f5534d8884c
102c74a77a1246,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),a02503a341734b
c6532e34c7f548,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),750ce51115b94c
91ea0c75d61c46,"BLM, CORP (CLS-PA01)",956f1cc8e81f4c
d193dcde0a3549,CELSIA CENTROAMERICA S.A. (CLS-PA02),0c2eab39813144
4ee2cd1fdb1347,CELSIA CENTROAMERICA S.A. (CLS-PA02),bb2ab2e5083848
9be333454c974b,"BLM, CORP (CLS-PA01)",
06bd761cdee84a,CELSIA CENTROAMERICA S.A. (CLS-PA02),956f1cc8e81f4c
3108821666394e,ALTERNEGY S.A. (CLS-PA03),956f1cc8e81f4c
5d28109ee2c445,EPSA E.S.P. (CLS-CO07),
466cd6a2e88643,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),3fbcadd850f141
2a21b9419ef24e,CELSIA S.A (CLS-CO01),f3344b7276bb46
4a2b72565d1c42,PORVENIR II S.A.S. E.S.P. (CLS-CO04),d40921b611b240
2cff5ad3ff3147,EPSA E.S.P. (CLS-CO07),14fb3417521643
35c09bc6e6dd46,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),6e405d90857744
e4fcbad3a29348,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),74275240742340
db2dcfaee6f64a,ALTERNEGY S.A. (CLS-PA03),94ed4af41c464a
6fa5fa7ff89b4d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),0105374ee41f48
a7632291bcf04e,EPSA E.S.P. (CLS-CO07),3d1be88598254e
b490f70163cd4b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),49c9f809bbd04a
68522b09e4ec41,ENERBIT S.A.S. E.S.P. (CLS-CO11),3d19429c2ee74f
cd42c1b610754a,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),b0b5020a25bc4d
e23898e87cdd41,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),bcd3d8756cab4a
b980b236d09447,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),dfce62cd90bc40
5353e92537c84f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),a0cf4186f8c24a
bc25930a215b41,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),672b95de9c034d
4e9fe49cba6a45,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),8ed21a0a6fdb42
65fbcda84f0442,PEG S.A. (CLS-CR02),7f9059aba9f243
c6f0e72231554a,CELSIA CENTROAMERICA S.A. (CLS-PA02),cddc0713cd2f4c
490f8e5b457a45,ALTERNEGY S.A. (CLS-PA03),bbc67a232a6849
3b91b5c4446547,CELSIA S.A (CLS-CO01),8ed21a0a6fdb42
a970693f01cb49,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),784d1bfb11874f
5d5ed4c1876e4b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),f57ca1d54a5546
e698505a29494b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),5de3ec63a45d4b
7cccbb7a8e4e4b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),0e31d7b47dc344
66df4e3feab644,CETSA E.S.P. (CLS-CO06),733ee3fd33e142
8eea58ce575146,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),733ee3fd33e142
8ef2852cfa7243,CETSA E.S.P. (CLS-CO06),fb9fd780a52c46
da8ed9c6d61546,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),ecfce126cd9d47
